1	4.0	0.8523491
10	4.0	0.9075746
100	4.0	0.92732733
1000	4.0	0.93200505
1002	4.0	0.9319033
1003	4.0	0.9479233
1004	4.0	0.97780836
1005	4.0	1.0259838
1006	4.0	1.0294818
1007	4.0	1.0413051
1008	4.0	1.0406955
1009	4.0	1.0490336
101	4.0	1.0428864
1010	4.0	1.0438097
1011	4.0	1.054326
1012	4.0	1.0488594
1013	4.0	1.0480685
1014	4.0	1.0509071
1015	4.0	1.0525066
1016	4.0	1.0514407
1017	4.0	1.0440164
1018	4.0	1.0454398
1019	4.0	1.0321828
102	4.0	1.0446166
1020	4.0	1.0436448
1021	4.0	1.0560514
1022	4.0	1.0514686
1023	4.0	1.0536603
1024	4.0	1.0532756
1025	4.0	1.0486742
1026	4.0	1.0487337
1027	4.0	1.0507381
1028	4.0	1.0514953
1029	4.0	1.0471768
103	4.0	1.047452
1030	4.0	1.0511063
1031	4.0	1.0485287
1032	4.0	1.045596
1033	4.0	1.0438018
1034	4.0	1.0447024
1035	4.0	1.0543647
1036	4.0	1.0473139
1037	4.0	1.0659578
1038	4.0	1.0658681
1039	4.0	1.0657855
104	4.0	1.069574
1040	4.0	1.0695795
1041	4.0	1.0672373
1042	4.0	1.0644546
1043	4.0	1.0659072
1044	4.0	1.065834
1046	4.0	1.0666192
1047	4.0	1.0662712
1049	4.0	1.0667254
105	4.0	1.0689515
1050	4.0	1.0689377
1051	4.0	1.0684764
1053	4.0	1.0688558
1054	4.0	1.069241
1055	4.0	1.0695873
1056	4.0	1.0689875
1057	4.0	1.0674217
1058	4.0	1.0674416
1059	4.0	1.0703462
106	4.0	1.0706078
1060	4.0	1.0687376
1061	4.0	1.0667095
1062	4.0	1.0667245
1063	4.0	1.0670601
1064	4.0	1.0693102
1066	4.0	1.0692602
1067	4.0	1.0694413
1068	4.0	1.0692191
1069	4.0	1.0688537
107	4.0	1.0704072
1070	4.0	1.0703738
1071	4.0	1.0703667
1073	4.0	1.0690526
1076	4.0	1.0689543
1077	4.0	1.0660317
1078	4.0	1.0638813
1079	4.0	1.0598242
108	4.0	1.0600326
1080	4.0	1.0580664
1081	4.0	1.057219
1082	4.0	1.0558019
1083	4.0	1.0551242
1084	4.0	1.0521799
1085	4.0	1.0518279
1086	4.0	1.0496786
1087	4.0	1.0496715
1088	4.0	1.0540402
